INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max     	min   	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.214069	0  	0.334642	0.1196	1023  	0.0326343	4.78886	0  	7  	2  	1023  	1.4363
INFO:gp:1  	748   	0.254023	1  	0.339848	0.161818	748   	0.0301827	4.87977	1  	12 	2  	748   	1.53366
INFO:gp:2  	766   	0.284121	2  	0.385588	0.171676	766   	0.0287511	4.99609	2  	13 	3  	766   	1.59053
INFO:gp:3  	794   	0.303834	3  	0.401952	0.188848	794   	0.0321125	4.99609	3  	12 	3  	794   	1.59483
INFO:gp:4  	758   	0.328629	4  	0.41451 	0.210885	758   	0.0332781	4.67449	4  	9  	3  	758   	1.5139 
INFO:gp:5  	730   	0.35591 	5  	0.419994	0.23541 	730   	0.0344124	4.15249	5  	9  	3  	730   	1.38636
INFO:gp:6  	776   	0.380253	6  	0.440239	0.211769	776   	0.0321419	3.84946	6  	11 	3  	776   	1.2352 
INFO:gp:7  	766   	0.393826	7  	0.440239	0.243954	766   	0.0301916	3.80645	7  	11 	3  	766   	1.26757
INFO:gp:8  	775   	0.400421	8  	0.453358	0.260483	775   	0.0311886	3.77517	8  	11 	3  	775   	1.28769
INFO:gp:9  	785   	0.407286	9  	0.465772	0.245932	785   	0.0333264	3.92962	9  	11 	3  	785   	1.34874
INFO:gp:10 	773   	0.421231	10 	0.471075	0.267487	773   	0.0310273	3.9433 	10 	9  	3  	773   	1.411  
INFO:gp:11 	750   	0.428069	11 	0.473255	0.238877	750   	0.033856 	3.65885	11 	10 	3  	750   	1.29135
INFO:gp:12 	743   	0.436316	12 	0.48641 	0.263849	743   	0.032968 	3.47312	12 	9  	3  	743   	1.18438
INFO:gp:13 	765   	0.444869	13 	0.48641 	0.274074	765   	0.0333727	3.39394	13 	9  	3  	765   	1.03234
INFO:gp:14 	748   	0.451501	14 	0.489271	0.291272	748   	0.0342021	3.38221	14 	8  	3  	748   	0.966474
INFO:gp:15 	784   	0.457272	15 	0.49833 	0.276482	784   	0.0346522	3.40176	15 	11 	3  	784   	1.01112 
INFO:gp:16 	764   	0.460639	16 	0.509729	0.294054	764   	0.0369244	3.64516	16 	11 	3  	764   	1.3147  
INFO:gp:17 	784   	0.465624	17 	0.509765	0.287548	784   	0.0347395	3.5914 	17 	11 	3  	784   	1.29107 
INFO:gp:18 	785   	0.469677	18 	0.509765	0.305255	785   	0.0356888	3.37439	18 	10 	3  	785   	1.08559 
INFO:gp:19 	766   	0.473755	19 	0.509765	0.288545	766   	0.0417436	3.25415	19 	10 	3  	766   	0.876499
INFO:gp:20 	787   	0.479335	20 	0.512844	0.288479	787   	0.0424374	3.34311	20 	10 	3  	787   	0.986006
INFO:gp:21 	777   	0.484854	21 	0.512844	0.276941	777   	0.0434751	3.37634	21 	10 	3  	777   	0.973805
INFO:gp:22 	773   	0.484497	22 	0.512844	0.283127	773   	0.0425211	3.60508	22 	10 	3  	773   	1.20542 
INFO:gp:23 	779   	0.486661	23 	0.512845	0.293841	779   	0.0416174	4.22972	23 	9  	3  	779   	1.46614 
INFO:gp:24 	771   	0.48626 	24 	0.512845	0.2952  	771   	0.0431484	5.55034	24 	12 	3  	771   	1.75452 
INFO:gp:25 	772   	0.490595	25 	0.512845	0.277766	772   	0.0397105	6.56598	25 	12 	3  	772   	1.4709  
INFO:gp:26 	770   	0.48917 	26 	0.512868	0.318801	770   	0.0390937	6.80156	26 	12 	3  	770   	1.27565 
INFO:gp:27 	806   	0.492217	27 	0.512869	0.308417	806   	0.0390561	6.82991	27 	12 	3  	806   	1.06136 
INFO:gp:28 	803   	0.491082	28 	0.52099 	0.30012 	803   	0.0386142	6.86413	28 	12 	3  	803   	1.21256 
INFO:gp:29 	780   	0.4906  	29 	0.52099 	0.283348	780   	0.0402917	6.89541	29 	13 	3  	780   	1.16473 
INFO:gp:30 	765   	0.490453	30 	0.521473	0.257816	765   	0.0400846	6.94721	30 	13 	3  	765   	1.18278 
INFO:gp:31 	772   	0.488427	31 	0.521473	0.268591	772   	0.0430492	6.91984	31 	13 	3  	772   	1.0819  
INFO:gp:32 	750   	0.488406	32 	0.521473	0.252545	750   	0.0457587	6.91007	32 	13 	3  	750   	0.996439
INFO:gp:33 	803   	0.493224	33 	0.521473	0.25684 	803   	0.0459551	6.97165	33 	13 	3  	803   	0.966789
INFO:gp:34 	772   	0.498164	34 	0.521473	0.311504	772   	0.0401272	7.0088 	34 	13 	3  	772   	0.976218
INFO:gp:35 	792   	0.49856 	35 	0.528526	0.319448	792   	0.0405342	6.9912 	35 	12 	3  	792   	0.902327
INFO:gp:36 	767   	0.498388	36 	0.528583	0.295909	767   	0.0414665	6.98827	36 	13 	3  	767   	0.879804
INFO:gp:37 	780   	0.497403	37 	0.528583	0.310411	780   	0.04303  	7.02639	37 	15 	3  	780   	1.05392 
INFO:gp:38 	765   	0.497733	38 	0.528595	0.267795	765   	0.0432191	7.1085 	38 	12 	3  	765   	1.00583 
INFO:gp:39 	773   	0.499986	39 	0.528601	0.333118	773   	0.0433724	7.19062	39 	14 	3  	773   	0.951323
INFO:gp:40 	764   	0.504358	40 	0.534262	0.298133	764   	0.0433187	7.14663	40 	14 	4  	764   	0.989686
INFO:gp:41 	768   	0.503977	41 	0.534262	0.293143	768   	0.043309 	7.1828 	41 	15 	3  	768   	1.13714 
INFO:gp:42 	768   	0.503873	42 	0.536276	0.313177	768   	0.0437434	7.1261 	42 	13 	3  	768   	1.05412 
INFO:gp:43 	783   	0.503815	43 	0.536276	0.300974	783   	0.0454313	7.11241	43 	14 	4  	783   	1.05567 
INFO:gp:44 	761   	0.5084  	44 	0.536276	0.265244	761   	0.0420137	7.0479 	44 	13 	3  	761   	0.731001
INFO:gp:45 	769   	0.508774	45 	0.536276	0.29087 	769   	0.0414086	7.09189	45 	14 	3  	769   	0.963337
INFO:gp:46 	772   	0.509707	46 	0.536276	0.317496	772   	0.0413671	7.08504	46 	16 	3  	772   	0.891801
INFO:gp:47 	756   	0.508721	47 	0.536276	0.292865	756   	0.0434735	7.07722	47 	13 	5  	756   	0.830091
INFO:gp:48 	758   	0.506776	48 	0.536276	0.289899	758   	0.0453354	7.10068	48 	13 	5  	758   	0.807243
INFO:gp:49 	783   	0.50527 	49 	0.536276	0.274976	783   	0.0477485	7.07625	49 	13 	4  	783   	0.860819
INFO:gp:50 	738   	0.507357	50 	0.536276	0.296698	738   	0.0473165	7.07038	50 	13 	5  	738   	0.780338
INFO:gp:51 	795   	0.50697 	51 	0.536276	0.287236	795   	0.0469862	7.09286	51 	13 	4  	795   	0.871049
INFO:gp:52 	769   	0.507978	52 	0.536276	0.320095	769   	0.0432359	7.08407	52 	13 	5  	769   	0.845187
INFO:gp:53 	782   	0.508556	53 	0.536276	0.28055 	782   	0.0445981	7.07331	53 	13 	4  	782   	0.78693 
INFO:gp:54 	743   	0.507779	54 	0.536276	0.317309	743   	0.0462296	7.09189	54 	13 	5  	743   	0.862696
INFO:gp:55 	800   	0.505408	55 	0.536276	0.298516	800   	0.0457672	7.04594	55 	13 	5  	800   	0.703879
INFO:gp:56 	775   	0.507249	56 	0.536276	0.292073	775   	0.0457309	7.08602	56 	13 	5  	775   	0.836853
INFO:gp:57 	763   	0.506268	57 	0.536276	0.227669	763   	0.0474242	7.08211	57 	13 	5  	763   	0.748477
INFO:gp:58 	787   	0.505914	58 	0.536276	0.288128	787   	0.0466215	7.06549	58 	13 	5  	787   	0.780137
INFO:gp:59 	772   	0.505172	59 	0.536276	0.316294	772   	0.047049 	7.07038	59 	13 	5  	772   	0.793998
INFO:gp:60 	786   	0.508879	60 	0.538493	0.261439	786   	0.0431559	7.05865	60 	13 	5  	786   	0.775026
INFO:gp:61 	797   	0.507917	61 	0.538493	0.262785	797   	0.0463958	7.11535	61 	13 	5  	797   	0.983932
INFO:gp:62 	774   	0.507252	62 	0.538493	0.301511	774   	0.0463414	7.29717	62 	18 	4  	774   	1.46369 
INFO:gp:63 	807   	0.504104	63 	0.538493	0.301342	807   	0.0484312	7.83382	63 	18 	5  	807   	2.13332 
INFO:gp:64 	760   	0.50619 	64 	0.538493	0.268648	760   	0.0474412	9.04888	64 	20 	5  	760   	2.96568 
INFO:gp:65 	767   	0.509642	65 	0.538493	0.322747	767   	0.0458789	10.956 	65 	19 	3  	767   	2.86977 
INFO:gp:66 	773   	0.508628	66 	0.538493	0.286397	773   	0.0482673	11.9032	66 	22 	5  	773   	2.45495 
INFO:gp:67 	781   	0.508291	67 	0.538493	0.299812	781   	0.0479378	12.089 	67 	24 	3  	781   	2.35942 
INFO:gp:68 	764   	0.508721	68 	0.538493	0.27417 	764   	0.0472487	12.1603	68 	24 	5  	764   	2.44384 
INFO:gp:69 	772   	0.50959 	69 	0.538493	0.278531	772   	0.0473879	12.217 	69 	24 	5  	772   	2.23625 
INFO:gp:70 	773   	0.509872	70 	0.538493	0.267076	773   	0.0475316	12.1486	70 	22 	5  	773   	2.22301 
INFO:gp:71 	753   	0.509515	71 	0.538493	0.294124	753   	0.045807 	12.1173	71 	19 	5  	753   	2.23014 
INFO:gp:72 	780   	0.508174	72 	0.538493	0.277654	780   	0.047839 	12.1818	72 	24 	4  	780   	2.32757 
INFO:gp:73 	790   	0.51044 	73 	0.538493	0.292253	790   	0.0456398	12.1711	73 	24 	4  	790   	2.43449 
INFO:gp:74 	791   	0.511141	74 	0.538493	0.290875	791   	0.045567 	12.1926	74 	26 	5  	791   	2.32229 
INFO:gp:75 	782   	0.510088	75 	0.538493	0.310294	782   	0.0453307	12.305 	75 	22 	4  	782   	2.32266 
INFO:gp:76 	798   	0.506979	76 	0.538493	0.293495	798   	0.0478871	12.2336	76 	28 	5  	798   	2.44413 
INFO:gp:77 	758   	0.511898	77 	0.538493	0.315489	758   	0.0456535	12.4487	77 	24 	5  	758   	2.37884 
INFO:gp:78 	778   	0.509107	78 	0.538493	0.323893	778   	0.0458422	12.4614	78 	22 	5  	778   	2.30309 
INFO:gp:79 	737   	0.512441	79 	0.538493	0.338319	737   	0.0431471	12.5885	79 	24 	5  	737   	2.39822 
