INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [18 18 18 18 18 18 18], Class Ratios: [0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 126
INFO:data:Number of classes 7.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std     	avg   	gen	max	min	nevals	std    
0  	1023  	0.21299	0  	0.325246	0.121747	1023  	0.031207	4.8651	0  	7  	2  	1023  	1.41054
INFO:gp:1  	767   	0.250402	1  	0.344825	0.158505	767   	0.0284435	4.94721	1  	9  	2  	767   	1.42631
INFO:gp:2  	777   	0.275788	2  	0.374769	0.150003	777   	0.0284321	5.05279	2  	10 	2  	777   	1.4215 
INFO:gp:3  	776   	0.295569	3  	0.374769	0.18613 	776   	0.0296731	5.27468	3  	11 	2  	776   	1.49021
INFO:gp:4  	761   	0.311564	4  	0.386769	0.198749	761   	0.0311838	5.42913	4  	11 	2  	761   	1.56845
INFO:gp:5  	788   	0.327706	5  	0.394519	0.17467 	788   	0.0327637	5.52688	5  	11 	3  	788   	1.77001
INFO:gp:6  	747   	0.341204	6  	0.40523 	0.218386	747   	0.0334038	5.42424	6  	13 	3  	747   	1.83052
INFO:gp:7  	758   	0.354011	7  	0.41545 	0.224307	758   	0.0333111	5.40176	7  	15 	3  	758   	1.65082
INFO:gp:8  	779   	0.364722	8  	0.418255	0.203375	779   	0.0340734	5.48485	8  	15 	3  	779   	1.67948
INFO:gp:9  	733   	0.374017	9  	0.427191	0.224792	733   	0.03547  	5.24927	9  	11 	3  	733   	1.63103
INFO:gp:10 	757   	0.381688	10 	0.440556	0.222021	757   	0.0347188	5.21408	10 	11 	3  	757   	1.59732
INFO:gp:11 	756   	0.387746	11 	0.440556	0.247884	756   	0.0352961	5.07918	11 	13 	3  	756   	1.44721
INFO:gp:12 	785   	0.393294	12 	0.449215	0.222036	785   	0.0358012	5.01369	12 	11 	3  	785   	1.44424
INFO:gp:13 	773   	0.398391	13 	0.450805	0.226657	773   	0.0377086	5.1437 	13 	11 	3  	773   	1.531  
INFO:gp:14 	782   	0.403244	14 	0.461678	0.230932	782   	0.0387812	5.09775	14 	10 	3  	782   	1.30501
INFO:gp:15 	773   	0.407441	15 	0.461678	0.245981	773   	0.0365313	5.09482	15 	10 	3  	773   	1.10707
INFO:gp:16 	768   	0.41258 	16 	0.461678	0.255767	768   	0.0394725	5.13001	16 	14 	3  	768   	1.17804
