INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                         fitness                         	                      size                     
   	      	---------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min    	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.23506	0  	0.544734	0.10163	1023  	0.0720222	4.70186	0  	7  	2  	1023  	1.45646
INFO:gp:1  	761   	0.322216	1  	0.64549 	0.123291	761   	0.0707224	4.98534	1  	10 	2  	761   	1.52489
INFO:gp:2  	786   	0.388848	2  	0.64549 	0.126978	786   	0.0739586	5.28152	2  	10 	3  	786   	1.60062
INFO:gp:3  	792   	0.445015	3  	0.678344	0.183929	792   	0.0783949	5.52004	3  	13 	3  	792   	1.59156
INFO:gp:4  	786   	0.509237	4  	0.679433	0.196058	786   	0.0781568	5.24927	4  	11 	3  	786   	1.54421
INFO:gp:5  	730   	0.567695	5  	0.713642	0.232509	730   	0.0729641	4.59433	5  	10 	3  	730   	1.46068
INFO:gp:6  	776   	0.605565	6  	0.714257	0.251234	776   	0.0722914	4.07136	6  	10 	3  	776   	1.23875
INFO:gp:7  	785   	0.633858	7  	0.716046	0.280011	785   	0.0675735	3.94037	7  	9  	3  	785   	0.97744
INFO:gp:8  	750   	0.647939	8  	0.749894	0.220273	750   	0.0713609	3.93255	8  	10 	3  	750   	1.07324
INFO:gp:9  	776   	0.656498	9  	0.749894	0.358782	776   	0.0792656	4.19159	9  	9  	3  	776   	1.3259 
INFO:gp:10 	785   	0.669617	10 	0.749919	0.306738	785   	0.0820192	4.39003	10 	10 	3  	785   	1.40498
INFO:gp:11 	792   	0.6799  	11 	0.770395	0.33931 	792   	0.0800383	4.56989	11 	11 	3  	792   	1.49641
INFO:gp:12 	787   	0.691684	12 	0.778987	0.342786	787   	0.0801062	4.52004	12 	10 	3  	787   	1.50052
INFO:gp:13 	746   	0.701943	13 	0.778987	0.352673	746   	0.0816349	4.09091	13 	10 	3  	746   	1.41302
INFO:gp:14 	783   	0.708949	14 	0.780732	0.367585	783   	0.0817742	4.19844	14 	11 	3  	783   	1.37166
INFO:gp:15 	763   	0.720224	15 	0.78902 	0.407619	763   	0.0762229	4.28446	15 	11 	3  	763   	1.51442
INFO:gp:16 	789   	0.720859	16 	0.78902 	0.325086	789   	0.0804947	4.67742	16 	12 	3  	789   	1.80353
INFO:gp:17 	765   	0.716309	17 	0.798997	0.347212	765   	0.0836135	5.68133	17 	12 	3  	765   	1.83325
INFO:gp:18 	780   	0.723794	18 	0.80097 	0.385969	780   	0.0833208	6.41153	18 	12 	3  	780   	1.37913
INFO:gp:19 	777   	0.726385	19 	0.80097 	0.273737	777   	0.0842085	6.49071	19 	12 	3  	777   	1.04337
INFO:gp:20 	762   	0.734528	20 	0.80097 	0.420129	762   	0.0809049	6.45259	20 	14 	3  	762   	1.07557
INFO:gp:21 	767   	0.732534	21 	0.801003	0.307781	767   	0.0888134	6.826  	21 	12 	3  	767   	1.2796 
INFO:gp:22 	775   	0.729415	22 	0.80135 	0.389293	775   	0.0880221	7.41056	22 	16 	3  	775   	1.5155 
INFO:gp:23 	775   	0.733733	23 	0.801666	0.378492	775   	0.0885286	7.87586	23 	16 	3  	775   	1.67531
INFO:gp:24 	782   	0.729027	24 	0.801666	0.37039 	782   	0.0905578	8.08993	24 	14 	6  	782   	1.67837
INFO:gp:25 	808   	0.728788	25 	0.801753	0.397369	808   	0.0878792	7.7781 	25 	14 	6  	808   	1.45866
INFO:gp:26 	757   	0.726016	26 	0.801838	0.33393 	757   	0.0913813	7.49951	26 	14 	6  	757   	1.25597
INFO:gp:27 	790   	0.729753	27 	0.802539	0.411182	790   	0.0897496	7.27566	27 	12 	6  	790   	0.906296
INFO:gp:28 	784   	0.730998	28 	0.802589	0.360866	784   	0.0906921	7.26197	28 	12 	6  	784   	0.934717
