INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                     size                     
   	      	-----------------------------------------------------------------	----------------------------------------------
gen	nevals	avg     	gen	max    	min      	nevals	std      	avg    	gen	max	min	nevals	std   
0  	1023  	0.234603	0  	0.48516	0.0993681	1023  	0.0721457	4.61388	0  	7  	2  	1023  	1.4566
INFO:gp:1  	778   	0.322074	1  	0.569388	0.12441  	778   	0.0685476	4.83284	1  	10 	2  	778   	1.54958
INFO:gp:2  	769   	0.384125	2  	0.576304	0.155588 	769   	0.0703744	4.82796	2  	12 	2  	769   	1.51748
INFO:gp:3  	768   	0.427144	3  	0.601383	0.104543 	768   	0.0708461	4.71359	3  	10 	2  	768   	1.38173
INFO:gp:4  	777   	0.462341	4  	0.629054	0.158814 	777   	0.0736466	4.64809	4  	11 	2  	777   	1.38746
INFO:gp:5  	772   	0.493775	5  	0.644728	0.225172 	772   	0.0771469	4.55621	5  	12 	2  	772   	1.3274 
INFO:gp:6  	766   	0.519411	6  	0.682563	0.236284 	766   	0.0796764	4.82111	6  	12 	2  	766   	1.5125 
INFO:gp:7  	780   	0.54364 	7  	0.692365	0.267573 	780   	0.0769456	4.79961	7  	12 	2  	780   	1.34982
INFO:gp:8  	758   	0.565619	8  	0.703576	0.158483 	758   	0.078328 	4.67546	8  	10 	2  	758   	1.28312
INFO:gp:9  	769   	0.580835	9  	0.729785	0.244825 	769   	0.0828954	4.67253	9  	9  	2  	769   	1.24721
INFO:gp:10 	763   	0.597581	10 	0.729785	0.270452 	763   	0.0837387	4.50342	10 	10 	2  	763   	1.24188
INFO:gp:11 	751   	0.617838	11 	0.740365	0.263331 	751   	0.081945 	4.11828	11 	9  	3  	751   	1.09415
INFO:gp:12 	787   	0.625021	12 	0.743079	0.309662 	787   	0.089068 	3.79472	12 	9  	3  	787   	0.91415
INFO:gp:13 	764   	0.642988	13 	0.745638	0.279646 	764   	0.0852203	3.74389	13 	9  	3  	764   	0.906639
INFO:gp:14 	777   	0.655141	14 	0.761281	0.375073 	777   	0.0835872	3.95503	14 	10 	3  	777   	0.898533
INFO:gp:15 	771   	0.660255	15 	0.781852	0.345729 	771   	0.0849629	4.11828	15 	9  	3  	771   	0.914042
INFO:gp:16 	766   	0.672311	16 	0.781852	0.368931 	766   	0.0866836	4.09873	16 	9  	3  	766   	0.787878
INFO:gp:17 	780   	0.679172	17 	0.781944	0.313193 	780   	0.0832805	4.04399	17 	11 	3  	780   	0.775366
INFO:gp:18 	785   	0.685187	18 	0.789548	0.296778 	785   	0.0877948	4.06256	18 	9  	3  	785   	0.790953
INFO:gp:19 	782   	0.696917	19 	0.789548	0.334456 	782   	0.0884025	4.09677	19 	10 	3  	782   	0.811344
INFO:gp:20 	775   	0.699984	20 	0.801958	0.290064 	775   	0.0952278	4.08895	20 	9  	3  	775   	0.748348
INFO:gp:21 	782   	0.710871	21 	0.801958	0.34193  	782   	0.0897262	3.99218	21 	9  	3  	782   	0.680648
INFO:gp:22 	765   	0.721843	22 	0.803498	0.366885 	765   	0.0857729	3.94819	22 	10 	3  	765   	0.833238
INFO:gp:23 	795   	0.73094 	23 	0.803498	0.308073 	795   	0.0814789	3.81525	23 	10 	3  	795   	1.01988 
INFO:gp:24 	754   	0.746826	24 	0.811719	0.364042 	754   	0.0743192	3.95308	24 	10 	3  	754   	1.1097  
INFO:gp:25 	747   	0.747173	25 	0.811719	0.329863 	747   	0.0757774	4.65885	25 	10 	3  	747   	1.2301  
INFO:gp:26 	774   	0.746691	26 	0.844315	0.386152 	774   	0.0833112	5.06647	26 	11 	3  	774   	1.22832 
INFO:gp:27 	794   	0.750503	27 	0.844437	0.384254 	794   	0.0833896	4.64321	27 	11 	3  	794   	1.27107 
INFO:gp:28 	775   	0.75889 	28 	0.844437	0.365766 	775   	0.0822663	4.20528	28 	10 	3  	775   	1.20641 
INFO:gp:29 	774   	0.776199	29 	0.844437	0.4249   	774   	0.0840193	4.25513	29 	10 	3  	774   	1.26244 
INFO:gp:30 	741   	0.784848	30 	0.844437	0.378727 	741   	0.0829572	4.50733	30 	10 	3  	741   	1.24814 
INFO:gp:31 	786   	0.78977 	31 	0.844704	0.439159 	786   	0.0827131	4.75367	31 	10 	3  	786   	1.37137 
INFO:gp:32 	772   	0.782505	32 	0.844704	0.340223 	772   	0.0905811	5.33333	32 	13 	3  	772   	1.51413 
INFO:gp:33 	762   	0.788742	33 	0.844762	0.372661 	762   	0.083822 	5.3304 	33 	13 	3  	762   	1.17581 
INFO:gp:34 	785   	0.789003	34 	0.845008	0.353571 	785   	0.0860702	5.32649	34 	15 	3  	785   	1.23367 
INFO:gp:35 	792   	0.782967	35 	0.846475	0.397679 	792   	0.0892185	5.58749	35 	14 	3  	792   	1.5169  
INFO:gp:36 	755   	0.796225	36 	0.846561	0.312899 	755   	0.079296 	5.5132 	36 	14 	3  	755   	1.36839 
INFO:gp:37 	782   	0.783076	37 	0.846561	0.346287 	782   	0.0884796	5.54252	37 	14 	3  	782   	1.22131 
INFO:gp:38 	781   	0.783495	38 	0.846749	0.257163 	781   	0.0904175	5.66764	38 	14 	3  	781   	1.27729 
INFO:gp:39 	767   	0.789434	39 	0.846749	0.290955 	767   	0.0901659	5.51906	39 	14 	3  	767   	1.16539 
INFO:gp:40 	763   	0.787995	40 	0.867065	0.38854  	763   	0.0881737	5.72336	40 	14 	3  	763   	1.24854 
INFO:gp:41 	753   	0.787652	41 	0.867065	0.400716 	753   	0.0897475	5.47019	41 	14 	3  	753   	1.12591 
INFO:gp:42 	768   	0.786014	42 	0.867065	0.388313 	768   	0.0926545	5.27859	42 	14 	3  	768   	1.0042  
INFO:gp:43 	780   	0.790712	43 	0.867065	0.349707 	780   	0.090372 	5.36364	43 	14 	3  	780   	1.06059 
INFO:gp:44 	760   	0.79045 	44 	0.867065	0.27518  	760   	0.0941296	5.66276	44 	14 	3  	760   	1.20388 
INFO:gp:45 	789   	0.799001	45 	0.886266	0.401798 	789   	0.0907737	6.28348	45 	14 	4  	789   	1.34977 
INFO:gp:46 	775   	0.808516	46 	0.886266	0.368924 	775   	0.0852822	6.80352	46 	14 	4  	775   	1.28512 
INFO:gp:47 	790   	0.806662	47 	0.886266	0.420069 	790   	0.086348 	7.01955	47 	14 	4  	790   	1.15876 
INFO:gp:48 	758   	0.810442	48 	0.886266	0.386915 	758   	0.0886445	6.99707	48 	14 	3  	758   	1.0898  
INFO:gp:49 	766   	0.816649	49 	0.886266	0.387811 	766   	0.0903178	7.02053	49 	14 	4  	766   	1.07517 
INFO:gp:50 	764   	0.823287	50 	0.886266	0.338371 	764   	0.0901202	7.04301	50 	14 	4  	764   	1.02848 
INFO:gp:51 	763   	0.827329	51 	0.886266	0.300387 	763   	0.0893263	7.04594	51 	14 	4  	763   	1.03357 
INFO:gp:52 	758   	0.825996	52 	0.887219	0.367263 	758   	0.0942448	7.06256	52 	13 	4  	758   	0.969726
INFO:gp:53 	785   	0.825438	53 	0.887219	0.387833 	785   	0.088628 	7.07722	53 	13 	4  	785   	1.01836 
INFO:gp:54 	800   	0.82433 	54 	0.888473	0.338611 	800   	0.0896827	7.13294	54 	15 	4  	800   	1.10536 
INFO:gp:55 	777   	0.819177	55 	0.888473	0.427859 	777   	0.0933176	7.27077	55 	14 	4  	777   	1.19382 
INFO:gp:56 	766   	0.818601	56 	0.888473	0.423425 	766   	0.094641 	7.43988	56 	15 	4  	766   	1.24672 
INFO:gp:57 	777   	0.827212	57 	0.888833	0.349123 	777   	0.0901297	7.49169	57 	14 	4  	777   	1.32562 
INFO:gp:58 	788   	0.82099 	58 	0.888978	0.347917 	788   	0.0949145	7.29423	58 	13 	4  	788   	1.11877 
INFO:gp:59 	779   	0.824847	59 	0.88921 	0.400731 	779   	0.0925232	7.29619	59 	14 	4  	779   	1.09974 
INFO:gp:60 	770   	0.828442	60 	0.88921 	0.369805 	770   	0.0917323	7.31867	60 	12 	4  	770   	1.10101 
INFO:gp:61 	766   	0.825759	61 	0.88921 	0.332883 	766   	0.0942477	7.87292	61 	16 	4  	766   	1.4901  
INFO:gp:62 	771   	0.830431	62 	0.88921 	0.362606 	771   	0.0891993	8.71261	62 	18 	4  	771   	1.57619 
INFO:gp:63 	759   	0.836115	63 	0.889243	0.363076 	759   	0.0868894	9.40958	63 	15 	4  	759   	1.3233  
INFO:gp:64 	772   	0.836358	64 	0.889468	0.421211 	772   	0.0854358	9.68035	64 	18 	5  	772   	1.41714 
INFO:gp:65 	783   	0.836849	65 	0.889569	0.479668 	783   	0.0860425	9.74878	65 	18 	5  	783   	1.50348 
INFO:gp:66 	756   	0.832681	66 	0.889569	0.503645 	756   	0.0847613	9.77126	66 	18 	5  	756   	1.70058 
INFO:gp:67 	786   	0.83182 	67 	0.889569	0.443427 	786   	0.0893525	9.9609 	67 	19 	4  	786   	2.34478 
INFO:gp:68 	760   	0.834095	68 	0.889569	0.422355 	760   	0.0880426	11.1007	68 	25 	5  	760   	3.06665 
INFO:gp:69 	788   	0.830529	69 	0.889569	0.395363 	788   	0.0926128	12.3333	69 	22 	5  	788   	3.10068 
INFO:gp:70 	772   	0.831876	70 	0.889569	0.414923 	772   	0.0924866	11.3148	70 	26 	4  	772   	2.82127 
INFO:gp:71 	748   	0.835629	71 	0.889899	0.444043 	748   	0.0860242	10.1828	71 	20 	5  	748   	1.80929 
INFO:gp:72 	764   	0.827411	72 	0.889899	0.439279 	764   	0.0924138	9.97849	72 	20 	4  	764   	1.58177 
INFO:gp:73 	778   	0.832746	73 	0.889899	0.401055 	778   	0.0866739	10.1789	73 	20 	5  	778   	1.71312 
INFO:gp:74 	767   	0.835084	74 	0.889899	0.47854  	767   	0.0886376	10.6031	74 	20 	5  	767   	2.05279 
INFO:gp:75 	756   	0.834927	75 	0.889899	0.471054 	756   	0.0907789	11.5904	75 	23 	5  	756   	2.60674 
INFO:gp:76 	776   	0.836767	76 	0.889899	0.417867 	776   	0.0889653	13.0244	76 	24 	5  	776   	2.24553 
INFO:gp:77 	761   	0.835612	77 	0.889899	0.420702 	761   	0.0904338	13.3773	77 	21 	5  	761   	2.01906 
INFO:gp:78 	785   	0.839045	78 	0.889899	0.371721 	785   	0.0930301	13.4174	78 	23 	4  	785   	1.98153 
INFO:gp:79 	796   	0.837666	79 	0.889899	0.282664 	796   	0.0889089	13.478 	79 	21 	4  	796   	1.88352 
INFO:gp:80 	771   	0.834973	80 	0.889899	0.417646 	771   	0.0886473	13.4643	80 	24 	5  	771   	2.0045  
INFO:gp:81 	802   	0.835635	81 	0.890134	0.244099 	802   	0.0924108	13.4213	81 	24 	5  	802   	2.07046 
INFO:gp:82 	786   	0.840798	82 	0.890134	0.477492 	786   	0.085452 	13.435 	82 	24 	4  	786   	1.96087 
INFO:gp:83 	739   	0.836157	83 	0.890134	0.382506 	739   	0.0900851	13.4839	83 	23 	5  	739   	1.86743 
INFO:gp:84 	783   	0.834295	84 	0.890134	0.438617 	783   	0.0877161	13.3529	84 	24 	5  	783   	2.18043 
INFO:gp:85 	755   	0.838409	85 	0.890134	0.445873 	755   	0.0871743	13.4477	85 	23 	5  	755   	1.92502 
INFO:gp:86 	772   	0.842779	86 	0.890134	0.402614 	772   	0.0829186	13.5181	86 	21 	5  	772   	1.75181 
INFO:gp:87 	788   	0.83513 	87 	0.890134	0.412019 	788   	0.0868836	13.477 	87 	24 	4  	788   	2.00274 
INFO:gp:88 	745   	0.836838	88 	0.890134	0.475085 	745   	0.0893694	13.521 	88 	24 	5  	745   	1.8944  
INFO:gp:89 	752   	0.835984	89 	0.890134	0.488975 	752   	0.0869028	13.4242	89 	24 	5  	752   	2.0649  
INFO:gp:90 	758   	0.84168 	90 	0.890134	0.404359 	758   	0.0843054	13.5523	90 	24 	5  	758   	1.88759 
INFO:gp:91 	809   	0.835102	91 	0.890134	0.445349 	809   	0.087897 	13.4154	91 	24 	5  	809   	2.07636 
INFO:gp:92 	748   	0.838507	92 	0.890134	0.293694 	748   	0.0910069	13.4966	92 	23 	4  	748   	1.88676 
INFO:gp:93 	779   	0.83746 	93 	0.890134	0.419111 	779   	0.0881639	13.391 	93 	24 	4  	779   	2.02564 
INFO:gp:94 	771   	0.83951 	94 	0.890134	0.439206 	771   	0.0852212	13.4545	94 	21 	4  	771   	1.95192 
INFO:gp:95 	796   	0.837297	95 	0.890134	0.436926 	796   	0.0885591	13.4311	95 	23 	5  	796   	1.97909 
INFO:gp:96 	749   	0.839819	96 	0.890134	0.403368 	749   	0.0886616	13.5386	96 	23 	4  	749   	1.80534 
INFO:gp:97 	778   	0.836326	97 	0.890134	0.40061  	778   	0.0892092	13.567 	97 	24 	5  	778   	1.89075 
INFO:gp:98 	760   	0.836659	98 	0.890134	0.411214 	760   	0.0881147	13.5494	98 	24 	5  	760   	1.9251  
INFO:gp:99 	785   	0.836202	99 	0.890134	0.33536  	785   	0.0895671	13.6129	99 	23 	5  	785   	1.6481  
INFO:gp:100	767   	0.836293	100	0.890134	0.42289  	767   	0.0884035	13.4516	100	24 	5  	767   	1.97278 
INFO:gp:101	792   	0.839304	101	0.890134	0.39396  	792   	0.0862755	13.4712	101	24 	5  	792   	1.98353 
INFO:gp:102	807   	0.826763	102	0.890134	0.40374  	807   	0.0936713	13.5318	102	24 	5  	807   	2.03266 
INFO:gp:103	786   	0.837751	103	0.890584	0.335092 	786   	0.0862423	13.435 	103	21 	4  	786   	1.95937 
INFO:gp:104	775   	0.838022	104	0.890584	0.376161 	775   	0.0902154	13.4135	104	23 	4  	775   	1.97444 
INFO:gp:105	783   	0.827448	105	0.890584	0.459228 	783   	0.0938113	13.5806	105	21 	4  	783   	1.74557 
INFO:gp:106	759   	0.837164	106	0.890584	0.431355 	759   	0.0859274	13.4956	106	21 	5  	759   	1.90018 
INFO:gp:107	765   	0.834746	107	0.890584	0.394045 	765   	0.0915899	13.5337	107	23 	4  	765   	1.88231 
INFO:gp:108	765   	0.832167	108	0.890584	0.405283 	765   	0.0932633	13.4897	108	21 	5  	765   	2.02565 
INFO:gp:109	777   	0.827302	109	0.890584	0.456354 	777   	0.0980698	13.566 	109	21 	4  	777   	1.84102 
INFO:gp:110	761   	0.82926 	110	0.890584	0.453716 	761   	0.0949076	13.5191	110	23 	4  	761   	1.89752 
INFO:gp:111	793   	0.827415	111	0.890584	0.355166 	793   	0.0967828	13.5689	111	24 	5  	793   	1.8657  
INFO:gp:112	776   	0.823007	112	0.890584	0.47991  	776   	0.0967533	13.5298	112	24 	5  	776   	1.9143  
INFO:gp:113	766   	0.830165	113	0.890584	0.450978 	766   	0.09324  	13.523 	113	24 	5  	766   	1.96031 
INFO:gp:114	768   	0.830033	114	0.890584	0.417717 	768   	0.0970272	13.6295	114	24 	4  	768   	1.69543 
INFO:gp:115	776   	0.826276	115	0.890584	0.430886 	776   	0.0951706	13.6315	115	23 	5  	776   	1.72557 
INFO:gp:116	715   	0.828449	116	0.890584	0.329151 	715   	0.0981737	13.5484	116	24 	4  	715   	2.02848 
INFO:gp:117	768   	0.822294	117	0.890584	0.344788 	768   	0.103444 	13.5865	117	24 	4  	768   	1.74529 
INFO:gp:118	746   	0.828645	118	0.890584	0.387034 	746   	0.0956612	13.5875	118	23 	5  	746   	1.94648 
INFO:gp:119	765   	0.821787	119	0.890584	0.41183  	765   	0.0986728	13.5259	119	24 	5  	765   	2.00952 
INFO:gp:120	741   	0.828649	120	0.890584	0.42859  	741   	0.0938986	13.5953	120	24 	5  	741   	1.92083 
INFO:gp:121	756   	0.828938	121	0.890584	0.390112 	756   	0.0953968	13.6373	121	21 	5  	756   	1.61991 
INFO:gp:122	770   	0.821382	122	0.890584	0.425058 	770   	0.0998897	13.6813	122	24 	5  	770   	1.66797 
INFO:gp:123	792   	0.823194	123	0.890584	0.412812 	792   	0.0997659	13.6579	123	22 	5  	792   	1.63067 
INFO:gp:124	773   	0.825681	124	0.890584	0.425568 	773   	0.0966351	13.5543	124	23 	5  	773   	1.86566 
INFO:gp:125	780   	0.828217	125	0.890584	0.34377  	780   	0.0948582	13.6012	125	21 	5  	780   	1.80995 
INFO:gp:126	762   	0.823978	126	0.890584	0.458299 	762   	0.0987246	13.6598	126	21 	5  	762   	1.65665 
INFO:gp:127	760   	0.829897	127	0.890584	0.343479 	760   	0.0961732	13.6911	127	24 	5  	760   	1.6223  
INFO:gp:128	774   	0.82824 	128	0.890584	0.341554 	774   	0.0955642	13.6129	128	21 	4  	774   	1.72914 
INFO:gp:129	757   	0.820574	129	0.890584	0.432285 	757   	0.0986317	13.6012	129	24 	4  	757   	1.89336 
INFO:gp:130	792   	0.826281	130	0.890584	0.448403 	792   	0.0945811	13.6432	130	24 	4  	792   	1.6926  
INFO:gp:131	757   	0.826926	131	0.890584	0.334918 	757   	0.0985638	13.5249	131	24 	4  	757   	2.01973 
INFO:gp:132	787   	0.825977	132	0.890584	0.378446 	787   	0.0986602	13.5992	132	21 	5  	787   	1.90222 
INFO:gp:133	780   	0.82355 	133	0.890584	0.438295 	780   	0.0974138	13.6168	133	24 	5  	780   	1.82515 
INFO:gp:134	769   	0.829732	134	0.890584	0.437681 	769   	0.0957823	13.6344	134	24 	4  	769   	1.76511 
INFO:gp:135	776   	0.822578	135	0.890584	0.402663 	776   	0.0996769	13.6403	135	21 	5  	776   	1.70836 
INFO:gp:136	761   	0.824375	136	0.890584	0.422645 	761   	0.0971167	13.5914	136	23 	5  	761   	1.89592 
INFO:gp:137	777   	0.828397	137	0.890584	0.359988 	777   	0.0950253	13.6784	137	23 	5  	777   	1.74616 
INFO:gp:138	782   	0.825141	138	0.890584	0.458785 	782   	0.0980659	13.6217	138	21 	5  	782   	1.71948 
INFO:gp:139	782   	0.822976	139	0.890807	0.334156 	782   	0.102712 	13.6119	139	23 	5  	782   	1.77991 
INFO:gp:140	773   	0.827965	140	0.890807	0.420417 	773   	0.0957888	13.6119	140	21 	4  	773   	1.76668 
INFO:gp:141	794   	0.821804	141	0.890807	0.413788 	794   	0.0985672	13.5582	141	21 	4  	794   	1.85081 
INFO:gp:142	819   	0.821746	142	0.890807	0.344854 	819   	0.0985408	13.6109	142	21 	5  	819   	1.71166 
INFO:gp:143	767   	0.82319 	143	0.890807	0.338647 	767   	0.0975652	13.6413	143	23 	5  	767   	1.84103 
INFO:gp:144	757   	0.827805	144	0.890807	0.385632 	757   	0.0950987	13.6413	144	24 	5  	757   	1.79696 
INFO:gp:145	756   	0.817673	145	0.890807	0.451563 	756   	0.0997991	13.6911	145	24 	5  	756   	1.62471 
INFO:gp:146	784   	0.815409	146	0.890807	0.397775 	784   	0.107312 	13.61  	146	24 	5  	784   	1.76403 
INFO:gp:147	792   	0.824871	147	0.890807	0.405451 	792   	0.0993071	13.6012	147	20 	4  	792   	1.84631 
INFO:gp:148	778   	0.818144	148	0.890807	0.37712  	778   	0.101728 	13.6628	148	21 	4  	778   	1.67922 
INFO:gp:149	745   	0.821095	149	0.890807	0.471545 	745   	0.100878 	13.5797	149	24 	4  	745   	1.84578 
INFO:gp:150	784   	0.82039 	150	0.890807	0.350724 	784   	0.101604 	13.5083	150	23 	5  	784   	1.99503 
INFO:gp:151	777   	0.822757	151	0.890807	0.351561 	777   	0.100116 	13.6989	151	21 	5  	777   	1.62738 
INFO:gp:152	803   	0.815896	152	0.890807	0.381153 	803   	0.105276 	13.5904	152	23 	4  	803   	1.87315 
INFO:gp:153	788   	0.829887	153	0.890807	0.405058 	788   	0.0955656	13.6295	153	23 	4  	788   	1.80977 
INFO:gp:154	785   	0.819278	154	0.890807	0.41177  	785   	0.102285 	13.6178	154	24 	5  	785   	1.69282 
INFO:gp:155	752   	0.824933	155	0.890807	0.420689 	752   	0.0996258	13.6012	155	24 	5  	752   	1.69966 
INFO:gp:156	767   	0.825438	156	0.890807	0.390799 	767   	0.100729 	13.6882	156	23 	4  	767   	1.54424 
INFO:gp:157	773   	0.820257	157	0.890807	0.42516  	773   	0.0994312	13.654 	157	23 	5  	773   	1.67714 
INFO:gp:158	782   	0.822306	158	0.890807	0.405175 	782   	0.0994041	13.5904	158	21 	5  	782   	1.73892 
INFO:gp:159	799   	0.822842	159	0.890807	0.330318 	799   	0.100256 	13.5699	159	24 	5  	799   	1.83502 
INFO:gp:160	773   	0.820989	160	0.890807	0.405184 	773   	0.1      	13.6452	160	23 	5  	773   	1.8274  
INFO:gp:161	775   	0.816647	161	0.890807	0.342454 	775   	0.102644 	13.6109	161	24 	5  	775   	1.96478 
INFO:gp:162	804   	0.820696	162	0.890807	0.345317 	804   	0.103783 	13.6637	162	24 	4  	804   	1.80103 
