INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 30
INFO:data:Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min      	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.232341	0  	0.470042	0.0989862	1023  	0.0712581	4.72532	0  	7  	2  	1023  	1.43269
INFO:gp:1  	763   	0.317865	1  	0.515565	0.0998618	763   	0.0665597	4.86315	1  	13 	2  	763   	1.51591
INFO:gp:2  	755   	0.379266	2  	0.562684	0.157314 	755   	0.0655298	5.03519	2  	10 	2  	755   	1.57533
INFO:gp:3  	787   	0.42287 	3  	0.587187	0.157079 	787   	0.0689109	5.32845	3  	11 	3  	787   	1.64125
INFO:gp:4  	790   	0.462767	4  	0.614518	0.223885 	790   	0.0650796	5.60606	4  	12 	3  	790   	1.84445
INFO:gp:5  	775   	0.487605	5  	0.684974	0.178831 	775   	0.0751722	5.39394	5  	12 	3  	775   	1.77532
INFO:gp:6  	781   	0.514674	6  	0.684974	0.162403 	781   	0.0770788	5.21701	6  	15 	3  	781   	1.70556
INFO:gp:7  	773   	0.534477	7  	0.684974	0.157852 	773   	0.0786541	5.24829	7  	15 	3  	773   	1.67581
INFO:gp:8  	798   	0.55715 	8  	0.748349	0.237925 	798   	0.0793588	5.25024	8  	15 	3  	798   	1.61371
INFO:gp:9  	761   	0.578225	9  	0.748349	0.230811 	761   	0.0840217	5.25709	9  	15 	3  	761   	1.41193
INFO:gp:10 	787   	0.608097	10 	0.749111	0.3292   	787   	0.0806067	5.32747	10 	12 	3  	787   	1.31214
INFO:gp:11 	778   	0.631093	11 	0.783303	0.320705 	778   	0.0843299	5.43891	11 	10 	3  	778   	1.11242
INFO:gp:12 	776   	0.653567	12 	0.783303	0.333126 	776   	0.0899162	5.28055	12 	12 	3  	776   	1.01719
INFO:gp:13 	780   	0.692034	13 	0.78403 	0.331002 	780   	0.0806285	5.21017	13 	11 	3  	780   	0.923154
INFO:gp:14 	788   	0.709609	14 	0.846607	0.29443  	788   	0.0799289	5.29228	14 	11 	3  	788   	0.936711
INFO:gp:15 	780   	0.726061	15 	0.846607	0.387168 	780   	0.0772053	5.30205	15 	12 	3  	780   	1.0415  
INFO:gp:16 	784   	0.742895	16 	0.846607	0.446635 	784   	0.0722944	5.18671	16 	11 	3  	784   	0.881736
INFO:gp:17 	775   	0.75114 	17 	0.848557	0.42001  	775   	0.0727337	5.2131 	17 	13 	3  	775   	0.865062
INFO:gp:18 	781   	0.759202	18 	0.848557	0.386205 	781   	0.0848864	5.28055	18 	11 	2  	781   	0.882369
INFO:gp:19 	792   	0.781198	19 	0.848557	0.299188 	792   	0.0868117	5.34897	19 	12 	3  	792   	0.916033
INFO:gp:20 	776   	0.785796	20 	0.867739	0.3757   	776   	0.0880587	5.32551	20 	12 	4  	776   	0.861132
INFO:gp:21 	753   	0.791014	21 	0.867739	0.417492 	753   	0.0841628	5.34995	21 	13 	3  	753   	0.941452
INFO:gp:22 	772   	0.792036	22 	0.867739	0.398197 	772   	0.0865237	5.33431	22 	12 	3  	772   	0.924134
INFO:gp:23 	765   	0.79531 	23 	0.867739	0.42644  	765   	0.0842562	5.35386	23 	12 	3  	765   	0.969678
INFO:gp:24 	764   	0.802808	24 	0.868741	0.422238 	764   	0.0826544	5.36559	24 	13 	5  	764   	1.04319 
INFO:gp:25 	772   	0.803913	25 	0.868741	0.375223 	772   	0.0862021	5.40665	25 	13 	3  	772   	1.10488 
INFO:gp:26 	765   	0.805049	26 	0.868741	0.424949 	765   	0.0912432	5.45846	26 	13 	5  	765   	1.18065 
INFO:gp:27 	772   	0.802817	27 	0.888033	0.420862 	772   	0.0920194	5.75367	27 	13 	3  	772   	1.56948 
INFO:gp:28 	770   	0.807265	28 	0.888033	0.38715  	770   	0.0875934	6.59433	28 	15 	5  	770   	2.14769 
INFO:gp:29 	787   	0.807202	29 	0.888033	0.425679 	787   	0.0939355	8.21799	29 	15 	5  	787   	2.42873 
INFO:gp:30 	775   	0.812046	30 	0.888033	0.373126 	775   	0.0943479	9.30987	30 	18 	5  	775   	2.44685 
INFO:gp:31 	790   	0.813379	31 	0.888159	0.37406  	790   	0.0948119	9.51026	31 	19 	5  	790   	2.56826 
INFO:gp:32 	787   	0.824327	32 	0.888397	0.390587 	787   	0.0932524	9.53861	32 	19 	5  	787   	2.39015 
INFO:gp:33 	765   	0.827504	33 	0.888825	0.446333 	765   	0.097688 	9.83578	33 	18 	5  	765   	1.85559 
INFO:gp:34 	772   	0.815728	34 	0.889617	0.374061 	772   	0.108287 	9.93646	34 	18 	5  	772   	1.78975 
INFO:gp:35 	773   	0.829319	35 	0.889617	0.417816 	773   	0.0966816	10.0655	35 	18 	5  	773   	1.65458 
INFO:gp:36 	773   	0.822641	36 	0.889617	0.376627 	773   	0.0997739	10.3451	36 	18 	5  	773   	1.81909 
INFO:gp:37 	779   	0.825719	37 	0.889728	0.353938 	779   	0.0975602	10.8377	37 	18 	4  	779   	1.93871 
INFO:gp:38 	771   	0.817736	38 	0.890042	0.405626 	771   	0.101213 	10.9169	38 	19 	3  	771   	1.85072 
INFO:gp:39 	764   	0.826372	39 	0.890088	0.440004 	764   	0.0966685	10.4252	39 	19 	4  	764   	1.79661 
INFO:gp:40 	768   	0.822353	40 	0.890239	0.371068 	768   	0.101585 	10.2121	40 	17 	4  	768   	1.54786 
INFO:gp:41 	800   	0.823251	41 	0.890239	0.382285 	800   	0.100494 	10.2972	41 	19 	5  	800   	1.66079 
INFO:gp:42 	774   	0.820436	42 	0.890239	0.443075 	774   	0.101003 	10.7546	42 	20 	5  	774   	1.92311 
INFO:gp:43 	799   	0.82019 	43 	0.890239	0.457786 	799   	0.0966824	11.0802	43 	20 	5  	799   	1.78662 
INFO:gp:44 	739   	0.817584	44 	0.890676	0.412181 	739   	0.102233 	10.7302	44 	20 	4  	739   	1.68065 
INFO:gp:45 	783   	0.822726	45 	0.890676	0.430609 	783   	0.0955362	10.567 	45 	20 	4  	783   	1.69962 
INFO:gp:46 	798   	0.818978	46 	0.890676	0.390956 	798   	0.099151 	10.3079	46 	20 	5  	798   	1.67496 
INFO:gp:47 	786   	0.824103	47 	0.890676	0.445415 	786   	0.0948855	10.4164	47 	20 	5  	786   	1.83711 
INFO:gp:48 	792   	0.825302	48 	0.890676	0.380403 	792   	0.0965998	11     	48 	19 	5  	792   	1.68485 
INFO:gp:49 	757   	0.82712 	49 	0.890777	0.401854 	757   	0.0990482	11.5934	49 	19 	5  	757   	1.62604 
INFO:gp:50 	775   	0.825467	50 	0.890777	0.374571 	775   	0.0970347	11.7107	50 	19 	3  	775   	1.51962 
INFO:gp:51 	769   	0.831784	51 	0.890777	0.436979 	769   	0.0904186	11.7361	51 	22 	3  	769   	1.64038 
INFO:gp:52 	752   	0.826611	52 	0.890777	0.475222 	752   	0.0933136	11.7605	52 	22 	5  	752   	1.51703 
INFO:gp:53 	798   	0.826455	53 	0.890777	0.489147 	798   	0.0931477	11.7908	53 	22 	4  	798   	1.65181 
INFO:gp:54 	773   	0.831055	54 	0.890777	0.380247 	773   	0.0912374	11.8152	54 	22 	4  	773   	1.60159 
INFO:gp:55 	787   	0.827508	55 	0.89089 	0.484917 	787   	0.0924737	11.7556	55 	22 	5  	787   	1.57972 
INFO:gp:56 	779   	0.825631	56 	0.89089 	0.437387 	779   	0.0954087	11.7722	56 	22 	5  	779   	1.75641 
INFO:gp:57 	760   	0.827572	57 	0.890903	0.49584  	760   	0.0931528	11.8143	57 	22 	5  	760   	1.32231 
INFO:gp:58 	787   	0.825074	58 	0.890903	0.415777 	787   	0.0947191	11.7742	58 	22 	4  	787   	1.72352 
INFO:gp:59 	755   	0.82182 	59 	0.891057	0.374714 	755   	0.101288 	11.7742	59 	22 	5  	755   	1.72579 
INFO:gp:60 	768   	0.825162	60 	0.891057	0.412912 	768   	0.0925119	11.8475	60 	22 	5  	768   	1.51442 
INFO:gp:61 	795   	0.823126	61 	0.891057	0.393617 	795   	0.0947105	11.8006	61 	22 	5  	795   	1.72366 
