INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.501542	0  	0.815402	0.308595	1023  	0.0556968	3.55914	0  	7  	2  	1023  	1.39829
INFO:gp:1  	787   	0.549154	1  	0.822816	0.25102 	787   	0.0612471	3.66569	1  	9  	2  	787   	1.39881
INFO:gp:2  	781   	0.584616	2  	0.862854	0.317036	781   	0.0756972	3.89345	2  	10 	2  	781   	1.46427
INFO:gp:3  	776   	0.632819	3  	0.868222	0.331365	776   	0.0989111	4.15054	3  	12 	1  	776   	1.5023 
INFO:gp:4  	784   	0.694568	4  	0.897169	0.361608	784   	0.116116 	4.8045 	4  	11 	2  	784   	1.56604
INFO:gp:5  	754   	0.753899	5  	0.910221	0.345707	754   	0.116385 	5.50929	5  	13 	3  	754   	1.52646
INFO:gp:6  	777   	0.791681	6  	0.910221	0.392701	777   	0.114755 	5.58456	6  	16 	3  	777   	1.62412
INFO:gp:7  	790   	0.819549	7  	0.910221	0.426769	790   	0.11369  	5.55327	7  	12 	3  	790   	1.52106
INFO:gp:8  	776   	0.843558	8  	0.910543	0.467187	776   	0.108208 	5.65885	8  	12 	3  	776   	1.57322
INFO:gp:9  	777   	0.848257	9  	0.910543	0.397758	777   	0.106208 	5.98534	9  	14 	3  	777   	1.85147
INFO:gp:10 	777   	0.853222	10 	0.910726	0.432206	777   	0.0968757	6.31281	10 	13 	3  	777   	1.84648
INFO:gp:11 	784   	0.862593	11 	0.911633	0.470815	784   	0.0906464	6.40958	11 	15 	3  	784   	1.81052
INFO:gp:12 	761   	0.8666  	12 	0.911633	0.448655	761   	0.0924977	6.61779	12 	15 	3  	761   	1.80679
INFO:gp:13 	774   	0.872071	13 	0.911633	0.46637 	774   	0.0840225	7.05865	13 	16 	3  	774   	1.81782
INFO:gp:14 	760   	0.875525	14 	0.911633	0.467868	760   	0.0805997	7.60899	14 	16 	3  	760   	2.02419
INFO:gp:15 	783   	0.868718	15 	0.911675	0.431138	783   	0.0941313	7.70479	15 	18 	3  	783   	2.51114
INFO:gp:16 	789   	0.868421	16 	0.911951	0.447192	789   	0.088957 	8.38807	16 	20 	3  	789   	2.85884
INFO:gp:17 	752   	0.870123	17 	0.912114	0.464303	752   	0.0903273	8.69208	17 	22 	3  	752   	3.08086
INFO:gp:18 	755   	0.867715	18 	0.912468	0.474557	755   	0.0891522	9.15054	18 	24 	3  	755   	3.1069 
INFO:gp:19 	774   	0.869747	19 	0.912552	0.351392	774   	0.0908241	9.87683	19 	25 	3  	774   	3.0784 
INFO:gp:20 	776   	0.87138 	20 	0.913097	0.456742	776   	0.0853703	10.5386	20 	24 	3  	776   	2.96546
INFO:gp:21 	790   	0.872991	21 	0.91333 	0.466647	790   	0.0854631	11.5943	21 	21 	3  	790   	3.13599
INFO:gp:22 	785   	0.871811	22 	0.914029	0.455597	785   	0.0847835	12.4917	22 	25 	5  	785   	3.33758
INFO:gp:23 	762   	0.874406	23 	0.915198	0.466726	762   	0.0874803	13.565 	23 	27 	3  	762   	3.3034 
INFO:gp:24 	770   	0.878659	24 	0.91936 	0.468079	770   	0.0826428	14.9169	24 	31 	5  	770   	3.00569
INFO:gp:25 	790   	0.880713	25 	0.91936 	0.466333	790   	0.0772461	15.9726	25 	27 	5  	790   	3.04692
INFO:gp:26 	761   	0.88314 	26 	0.920541	0.486053	761   	0.0746121	17.1975	26 	31 	7  	761   	3.22353
INFO:gp:27 	776   	0.879519	27 	0.920541	0.477957	776   	0.0812682	18.1887	27 	36 	3  	776   	3.26188
INFO:gp:28 	761   	0.875805	28 	0.920541	0.469527	761   	0.0841914	18.7429	28 	34 	7  	761   	3.22917
INFO:gp:29 	746   	0.874587	29 	0.920541	0.394903	746   	0.0844278	18.7859	29 	37 	7  	746   	3.14587
INFO:gp:30 	760   	0.865704	30 	0.920742	0.460148	760   	0.0883959	17.9726	30 	31 	7  	760   	2.62279
INFO:gp:31 	766   	0.861967	31 	0.920742	0.463731	766   	0.0856528	17.6979	31 	40 	10 	766   	2.64587
INFO:gp:32 	778   	0.862611	32 	0.920742	0.493088	778   	0.0851517	17.9717	32 	31 	10 	778   	2.393  
INFO:gp:33 	762   	0.859883	33 	0.920743	0.467981	762   	0.0885597	18.5562	33 	31 	3  	762   	2.52389
INFO:gp:34 	771   	0.869056	34 	0.920743	0.391319	771   	0.0836206	18.8944	34 	31 	5  	771   	2.09888
INFO:gp:35 	760   	0.867984	35 	0.920798	0.497156	760   	0.084605 	18.9326	35 	35 	7  	760   	2.19889
INFO:gp:36 	767   	0.866677	36 	0.920813	0.459965	767   	0.0877368	19.2326	36 	35 	7  	767   	2.07688
INFO:gp:37 	774   	0.874186	37 	0.920815	0.512943	774   	0.0761516	19.5543	37 	35 	11 	774   	2.14498
INFO:gp:38 	773   	0.868655	38 	0.921013	0.473247	773   	0.0853556	19.6246	38 	35 	7  	773   	2.11725
INFO:gp:39 	776   	0.871532	39 	0.921084	0.459735	776   	0.0808193	19.654 	39 	37 	11 	776   	2.05532
INFO:gp:40 	801   	0.868759	40 	0.921085	0.49186 	801   	0.0823779	20.0684	40 	35 	11 	801   	1.82981
INFO:gp:41 	775   	0.865796	41 	0.921095	0.391557	775   	0.0853113	20.3578	41 	39 	7  	775   	2.10503
INFO:gp:42 	771   	0.863454	42 	0.921108	0.481338	771   	0.0866571	20.8016	42 	39 	9  	771   	1.87819
INFO:gp:43 	806   	0.864748	43 	0.921259	0.363652	806   	0.0893429	21.0596	43 	32 	3  	806   	1.84475
INFO:gp:44 	784   	0.867311	44 	0.921259	0.483504	784   	0.0847505	21.2268	44 	39 	11 	784   	1.88926
INFO:gp:45 	784   	0.859985	45 	0.921316	0.497234	784   	0.0892979	21.4418	45 	39 	3  	784   	2.00544
INFO:gp:46 	785   	0.869004	46 	0.921319	0.509192	785   	0.0841786	21.52  	46 	38 	7  	785   	2.09112
INFO:gp:47 	784   	0.865975	47 	0.921319	0.46487 	784   	0.0849833	21.4712	47 	33 	3  	784   	2.20479
INFO:gp:48 	758   	0.869708	48 	0.921506	0.501413	758   	0.0809327	21.3881	48 	29 	7  	758   	2.06089
INFO:gp:49 	780   	0.866859	49 	0.921506	0.497708	780   	0.0844492	21.2659	49 	39 	8  	780   	2.34504
INFO:gp:50 	787   	0.866646	50 	0.921506	0.484201	787   	0.0836412	21.132 	50 	39 	11 	787   	2.10273
INFO:gp:51 	756   	0.868788	51 	0.921597	0.492225	756   	0.0854107	21.3333	51 	39 	5  	756   	2.3537 
INFO:gp:52 	760   	0.871431	52 	0.921724	0.450746	760   	0.0811256	21.4555	52 	33 	5  	760   	2.19609
INFO:gp:53 	764   	0.873927	53 	0.921839	0.491279	764   	0.0791693	21.5718	53 	39 	6  	764   	2.20425
INFO:gp:54 	785   	0.872603	54 	0.922022	0.526529	785   	0.0786045	21.48  	54 	39 	13 	785   	2.39773
INFO:gp:55 	754   	0.874573	55 	0.922024	0.494235	754   	0.0787743	21.5005	55 	33 	4  	754   	2.16922
INFO:gp:56 	780   	0.869789	56 	0.922231	0.537455	780   	0.0784339	21.5973	56 	39 	13 	780   	2.20106
INFO:gp:57 	762   	0.875008	57 	0.922263	0.510039	762   	0.076023 	21.653 	57 	37 	13 	762   	2.11169
INFO:gp:58 	787   	0.872565	58 	0.922362	0.480194	787   	0.0816024	21.9355	58 	41 	11 	787   	2.20985
INFO:gp:59 	768   	0.876149	59 	0.922565	0.514117	768   	0.07716  	22.3196	59 	41 	14 	768   	2.09885
INFO:gp:60 	754   	0.880756	60 	0.922565	0.513969	754   	0.0749713	22.8152	60 	39 	11 	754   	1.91155
INFO:gp:61 	784   	0.871749	61 	0.922565	0.468562	784   	0.0836941	23.0909	61 	35 	8  	784   	1.75157
INFO:gp:62 	789   	0.877626	62 	0.922565	0.49847 	789   	0.0771485	23.2268	62 	41 	12 	789   	1.882  
INFO:gp:63 	772   	0.877373	63 	0.922588	0.509028	772   	0.0767025	23.4497	63 	41 	18 	772   	1.85157
INFO:gp:64 	768   	0.876333	64 	0.922845	0.474962	768   	0.0757929	23.3646	64 	34 	10 	768   	1.7099 
INFO:gp:65 	781   	0.879708	65 	0.922845	0.475311	781   	0.0754551	23.6373	65 	43 	10 	781   	2.19714
INFO:gp:66 	745   	0.880841	66 	0.922845	0.533286	745   	0.0720453	23.7947	66 	43 	13 	745   	2.28363
INFO:gp:67 	801   	0.876452	67 	0.923053	0.484177	801   	0.0777946	24.0196	67 	36 	8  	801   	2.23183
INFO:gp:68 	772   	0.875052	68 	0.923053	0.476464	772   	0.0791236	24.5963	68 	39 	11 	772   	2.59413
