INFO:data:Reading dataset fish: species
INFO:data:Class Counts: [48 60], Class Ratios: [0.44444444 0.55555556]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 108
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.500298	0  	0.748457	0.321351	1023  	0.0548483	3.5044	0  	7  	2  	1023  	1.33811
INFO:gp:1  	756   	0.547658	1  	0.788246	0.313422	756   	0.0562357	3.78592	1  	12 	2  	756   	1.52019
INFO:gp:2  	786   	0.571872	2  	0.808343	0.34864 	786   	0.068271 	3.91007	2  	14 	2  	786   	1.6233 
INFO:gp:3  	806   	0.600706	3  	0.855021	0.300592	806   	0.0896099	4.17107	3  	11 	2  	806   	1.65472
INFO:gp:4  	761   	0.644784	4  	0.877231	0.330274	761   	0.10336  	4.27468	4  	14 	2  	761   	1.63354
INFO:gp:5  	775   	0.676101	5  	0.877231	0.348384	775   	0.119927 	4.64712	5  	16 	2  	775   	1.7209 
INFO:gp:6  	787   	0.708257	6  	0.877231	0.253666	787   	0.127791 	5.12903	6  	14 	1  	787   	1.73768
INFO:gp:7  	780   	0.741487	7  	0.877243	0.363364	780   	0.126657 	5.49071	7  	17 	1  	780   	1.88207
INFO:gp:8  	796   	0.750697	8  	0.877243	0.277314	796   	0.132493 	5.87292	8  	17 	2  	796   	2.03524
INFO:gp:9  	781   	0.753013	9  	0.877256	0.396101	781   	0.137613 	6.32454	9  	17 	2  	781   	2.20863
INFO:gp:10 	768   	0.761732	10 	0.877256	0.369349	768   	0.13921  	7.15249	10 	15 	2  	768   	2.19664
INFO:gp:11 	764   	0.785619	11 	0.877261	0.364207	764   	0.142029 	8.06549	11 	17 	2  	764   	2.16761
INFO:gp:12 	806   	0.797423	12 	0.877261	0.35888 	806   	0.143814 	8.77615	12 	17 	2  	806   	2.02326
INFO:gp:13 	772   	0.794756	13 	0.877266	0.271246	772   	0.144615 	8.85533	13 	20 	2  	772   	2.21357
INFO:gp:14 	788   	0.794974	14 	0.877276	0.341231	788   	0.144441 	8.73803	14 	17 	2  	788   	2.60419
INFO:gp:15 	782   	0.792613	15 	0.877282	0.394362	782   	0.14508  	9.35679	15 	21 	2  	782   	3.22029
INFO:gp:16 	773   	0.810365	16 	0.877304	0.254594	773   	0.13247  	10.7634	16 	22 	2  	773   	3.42191
INFO:gp:17 	779   	0.798201	17 	0.877304	0.346883	779   	0.145053 	12.0733	17 	24 	2  	779   	3.4629 
INFO:gp:18 	753   	0.805544	18 	0.877309	0.361132	753   	0.13699  	13.1056	18 	27 	2  	753   	4.01739
INFO:gp:19 	775   	0.802799	19 	0.884046	0.326785	775   	0.138748 	14.9785	19 	27 	2  	775   	4.08506
INFO:gp:20 	782   	0.797923	20 	0.884046	0.298109	782   	0.143312 	15.4907	20 	26 	2  	782   	3.49636
INFO:gp:21 	780   	0.805259	21 	0.884046	0.364563	780   	0.138747 	15.9189	21 	26 	2  	780   	2.94131
INFO:gp:22 	789   	0.807518	22 	0.884046	0.284711	789   	0.136647 	16.391 	22 	28 	2  	789   	3.13115
INFO:gp:23 	745   	0.812637	23 	0.884074	0.419227	745   	0.131441 	17.2493	23 	27 	2  	745   	3.41371
INFO:gp:24 	789   	0.810253	24 	0.884101	0.291535	789   	0.136806 	16.9795	24 	34 	2  	789   	4.36759
INFO:gp:25 	754   	0.810587	25 	0.884132	0.352366	754   	0.134412 	15.262 	25 	34 	2  	754   	5.23166
INFO:gp:26 	749   	0.802545	26 	0.884292	0.291234	749   	0.14326  	15.5259	26 	31 	2  	749   	5.70101
INFO:gp:27 	764   	0.812098	27 	0.884292	0.300429	764   	0.13614  	19.5777	27 	34 	2  	764   	5.86851
INFO:gp:28 	761   	0.803186	28 	0.884356	0.416824	761   	0.141745 	21.3314	28 	34 	2  	761   	4.44722
INFO:gp:29 	758   	0.805854	29 	0.88439 	0.375602	758   	0.141819 	22.6315	29 	33 	2  	758   	4.47739
INFO:gp:30 	759   	0.801995	30 	0.89119 	0.384064	759   	0.143294 	23.5963	30 	37 	2  	759   	4.97838
INFO:gp:31 	773   	0.789154	31 	0.891192	0.408755	773   	0.151232 	22.7937	31 	45 	6  	773   	6.02175
INFO:gp:32 	749   	0.786656	32 	0.891192	0.412398	749   	0.152396 	22.6911	32 	43 	3  	749   	5.82444
INFO:gp:33 	765   	0.790619	33 	0.891574	0.34832 	765   	0.151861 	22.7537	33 	35 	2  	765   	6.56823
INFO:gp:34 	759   	0.792525	34 	0.891574	0.346257	759   	0.155011 	18.6696	34 	37 	2  	759   	7.46817
INFO:gp:35 	781   	0.786121	35 	0.891577	0.397768	781   	0.156999 	15.391 	35 	33 	2  	781   	5.85868
INFO:gp:36 	799   	0.784953	36 	0.891577	0.432717	799   	0.159044 	18.9472	36 	39 	2  	799   	7.81839
INFO:gp:37 	788   	0.792013	37 	0.891627	0.448293	788   	0.1556   	26.0723	37 	39 	4  	788   	7.46452
INFO:gp:38 	779   	0.790306	38 	0.891714	0.446743	779   	0.156816 	30.5357	38 	38 	3  	779   	4.06622
INFO:gp:39 	786   	0.793872	39 	0.891754	0.446983	786   	0.154069 	30.912 	39 	41 	6  	786   	3.63082
INFO:gp:40 	761   	0.784523	40 	0.891756	0.381634	761   	0.160744 	30.8534	40 	50 	2  	761   	3.73041
INFO:gp:41 	787   	0.787702	41 	0.891853	0.406529	787   	0.156997 	30.8172	41 	39 	3  	787   	3.57284
INFO:gp:42 	806   	0.786978	42 	0.891867	0.404707	806   	0.158701 	30.7458	42 	52 	7  	806   	4.27294
INFO:gp:43 	772   	0.796227	43 	0.89187 	0.419916	772   	0.155354 	31.8905	43 	41 	6  	772   	4.26925
INFO:gp:44 	812   	0.78723 	44 	0.891978	0.441343	812   	0.158926 	32.2972	44 	45 	5  	812   	4.9616 
INFO:gp:45 	766   	0.799523	45 	0.892002	0.383405	766   	0.153101 	32.8866	45 	59 	6  	766   	5.35475
INFO:gp:46 	782   	0.792874	46 	0.892002	0.408289	782   	0.15611  	35.6197	46 	47 	5  	782   	5.41558
INFO:gp:47 	790   	0.79061 	47 	0.892002	0.40286 	790   	0.156977 	36.956 	47 	50 	2  	790   	4.87668
INFO:gp:48 	786   	0.789087	48 	0.892067	0.432312	786   	0.1576   	36.5953	48 	45 	4  	786   	5.02355
INFO:gp:49 	751   	0.803138	49 	0.892108	0.422575	751   	0.149559 	37.0841	49 	62 	6  	751   	4.86321
INFO:gp:50 	773   	0.79845 	50 	0.892117	0.446255	773   	0.152197 	38.2864	50 	53 	6  	773   	4.72438
INFO:gp:51 	765   	0.81831 	51 	0.892378	0.425386	765   	0.136156 	38.8866	51 	64 	9  	765   	4.62207
INFO:gp:52 	750   	0.822128	52 	0.892439	0.314194	750   	0.132528 	38.3783	52 	46 	8  	750   	4.62648
INFO:gp:53 	764   	0.828215	53 	0.892693	0.426773	764   	0.126057 	38.7009	53 	49 	12 	764   	4.80474
INFO:gp:54 	784   	0.829531	54 	0.892693	0.202145	784   	0.12389  	38.9257	54 	49 	5  	784   	4.59912
INFO:gp:55 	770   	0.838494	55 	0.892774	0.440978	770   	0.113014 	38.8847	55 	49 	12 	770   	4.10116
INFO:gp:56 	770   	0.824476	56 	0.892774	0.447306	770   	0.126993 	38.4203	56 	51 	12 	770   	4.81883
INFO:gp:57 	788   	0.827898	57 	0.899007	0.407468	788   	0.123496 	38.4663	57 	54 	4  	788   	5.23099
INFO:gp:58 	757   	0.837885	58 	0.8993  	0.457105	757   	0.112164 	40.1887	58 	49 	12 	757   	5.07525
INFO:gp:59 	774   	0.83417 	59 	0.905056	0.378611	774   	0.118248 	41.262 	59 	51 	8  	774   	5.05085
INFO:gp:60 	756   	0.837889	60 	0.905056	0.448654	756   	0.114654 	40.6735	60 	52 	9  	756   	4.61297
INFO:gp:61 	790   	0.828208	61 	0.905056	0.43573 	790   	0.126561 	38.8495	61 	68 	3  	790   	5.01092
INFO:gp:62 	773   	0.835334	62 	0.905066	0.472777	773   	0.121336 	37.9717	62 	49 	9  	773   	4.66242
INFO:gp:63 	805   	0.817821	63 	0.905066	0.457032	805   	0.134581 	37.5797	63 	50 	11 	805   	5.04518
INFO:gp:64 	786   	0.819274	64 	0.905101	0.411523	786   	0.132914 	37.0127	64 	65 	11 	786   	5.01755
INFO:gp:65 	754   	0.825699	65 	0.905352	0.47213 	754   	0.133829 	36.8485	65 	57 	11 	754   	4.47208
INFO:gp:66 	771   	0.833903	66 	0.905352	0.472158	771   	0.123718 	36.2512	66 	46 	11 	771   	4.81185
INFO:gp:67 	778   	0.826313	67 	0.905581	0.446171	778   	0.135108 	36.7087	67 	49 	11 	778   	4.47161
INFO:gp:68 	754   	0.836261	68 	0.905581	0.465806	754   	0.123378 	36.5836	68 	57 	11 	754   	4.78477
INFO:gp:69 	789   	0.832849	69 	0.905581	0.412903	789   	0.128787 	37.1466	69 	52 	9  	789   	4.98365
INFO:gp:70 	760   	0.849324	70 	0.905596	0.454784	760   	0.113455 	38.5689	70 	52 	11 	760   	4.64633
INFO:gp:71 	784   	0.839553	71 	0.905596	0.414068	784   	0.121644 	39.4575	71 	52 	11 	784   	5.01239
INFO:gp:72 	785   	0.844279	72 	0.905596	0.45909 	785   	0.115274 	39.6813	72 	52 	11 	785   	4.74986
INFO:gp:73 	785   	0.843793	73 	0.905801	0.455697	785   	0.120053 	39.2268	73 	54 	11 	785   	4.73082
INFO:gp:74 	772   	0.853642	74 	0.905801	0.472531	772   	0.111519 	38.4702	74 	52 	11 	772   	4.63937
INFO:gp:75 	787   	0.855493	75 	0.905801	0.43006 	787   	0.107261 	38.1085	75 	51 	16 	787   	4.34159
INFO:gp:76 	811   	0.85213 	76 	0.905852	0.465574	811   	0.11079  	37.6774	76 	51 	17 	811   	4.65144
INFO:gp:77 	781   	0.850465	77 	0.905934	0.459651	781   	0.110293 	37.8348	77 	51 	15 	781   	4.56335
INFO:gp:78 	788   	0.852691	78 	0.905934	0.216581	788   	0.108997 	38.306 	78 	51 	2  	788   	5.00628
INFO:gp:79 	782   	0.85499 	79 	0.905934	0.425466	782   	0.102602 	38.5464	79 	51 	15 	782   	5.19319
INFO:gp:80 	764   	0.850041	80 	0.905934	0.466005	764   	0.112159 	38.5552	80 	55 	17 	764   	5.03426
INFO:gp:81 	772   	0.849484	81 	0.905934	0.473229	772   	0.110157 	38.8524	81 	48 	17 	772   	4.99939
INFO:gp:82 	752   	0.855656	82 	0.905934	0.388442	752   	0.103913 	39.3685	82 	70 	6  	752   	4.61966
INFO:gp:83 	753   	0.850088	83 	0.90599 	0.448021	753   	0.110183 	39.3412	83 	49 	8  	753   	4.33043
INFO:gp:84 	802   	0.845882	84 	0.906041	0.461792	802   	0.115491 	39.1623	84 	49 	13 	802   	4.08764
INFO:gp:85 	780   	0.852031	85 	0.906041	0.451785	780   	0.10733  	39.4868	85 	49 	17 	780   	3.7971 
INFO:gp:86 	773   	0.851714	86 	0.906041	0.470142	773   	0.108133 	39.9081	86 	49 	12 	773   	4.18574
INFO:gp:87 	755   	0.851381	87 	0.906041	0.44773 	755   	0.110575 	40.5904	87 	53 	17 	755   	4.6636 
INFO:gp:88 	778   	0.847476	88 	0.906054	0.420679	778   	0.112402 	42.131 	88 	53 	17 	778   	4.39479
INFO:gp:89 	769   	0.855381	89 	0.906054	0.469655	769   	0.101261 	43.0127	89 	53 	17 	769   	4.39595
INFO:gp:90 	782   	0.856308	90 	0.906054	0.461899	782   	0.104443 	43.5552	90 	51 	14 	782   	4.3501 
INFO:gp:91 	785   	0.860164	91 	0.906059	0.441275	785   	0.0949152	44.0469	91 	56 	12 	785   	3.63132
INFO:gp:92 	777   	0.857749	92 	0.906059	0.468454	777   	0.100437 	44.3959	92 	52 	17 	777   	3.71711
INFO:gp:93 	767   	0.851722	93 	0.906059	0.310384	767   	0.109697 	44.3363	93 	57 	16 	767   	4.37985
INFO:gp:94 	790   	0.853258	94 	0.906146	0.468165	790   	0.107826 	44.2434	94 	57 	9  	790   	4.22861
INFO:gp:95 	776   	0.850414	95 	0.906146	0.480119	776   	0.110637 	44.0587	95 	53 	16 	776   	4.11046
INFO:gp:96 	785   	0.854365	96 	0.906146	0.467806	785   	0.104161 	44.3822	96 	53 	15 	785   	3.90923
INFO:gp:97 	746   	0.85682 	97 	0.906146	0.473468	746   	0.103261 	44.8328	97 	53 	13 	746   	3.8244 
INFO:gp:98 	759   	0.85116 	98 	0.906146	0.427163	759   	0.108848 	45.436 	98 	53 	14 	759   	3.36876
INFO:gp:99 	780   	0.85426 	99 	0.906148	0.469772	780   	0.106706 	45.7077	99 	57 	17 	780   	4.62849
INFO:gp:100	755   	0.858094	100	0.906148	0.473312	755   	0.100666 	46.653 	100	75 	9  	755   	4.22577
INFO:gp:101	789   	0.854006	101	0.906148	0.457326	789   	0.103456 	46.9179	101	56 	17 	789   	4.71755
INFO:gp:102	769   	0.854454	102	0.906151	0.472063	769   	0.107587 	47.3685	102	57 	14 	769   	4.22441
INFO:gp:103	761   	0.855837	103	0.906151	0.45485 	761   	0.103641 	47.4409	103	75 	14 	761   	4.38229
INFO:gp:104	765   	0.855013	104	0.906151	0.391058	765   	0.104159 	47.6676	104	75 	17 	765   	3.99963
INFO:gp:105	772   	0.857611	105	0.906159	0.451713	772   	0.101461 	47.4379	105	52 	17 	772   	4.54776
INFO:gp:106	759   	0.855711	106	0.906339	0.451474	759   	0.103108 	47.6051	106	57 	13 	759   	4.7301 
INFO:gp:107	766   	0.861676	107	0.906404	0.473552	766   	0.0988175	47.7937	107	52 	17 	766   	3.62832
INFO:gp:108	786   	0.854534	108	0.906404	0.467694	786   	0.10776  	47.5797	108	55 	13 	786   	4.6661 
INFO:gp:109	784   	0.857685	109	0.906695	0.471378	784   	0.103669 	47.5963	109	57 	17 	784   	4.33453
INFO:gp:110	785   	0.85436 	110	0.906713	0.430056	785   	0.101183 	47.8065	110	57 	15 	785   	3.75804
INFO:gp:111	762   	0.844559	111	0.906715	0.471541	762   	0.115108 	47.5132	111	56 	17 	762   	4.7066 
INFO:gp:112	755   	0.851528	112	0.906766	0.480193	755   	0.104211 	47.5103	112	75 	15 	755   	4.3123 
INFO:gp:113	791   	0.847531	113	0.907352	0.428886	791   	0.110315 	47.5982	113	57 	15 	791   	4.18837
INFO:gp:114	754   	0.847869	114	0.907352	0.460974	754   	0.109817 	47.5552	114	57 	5  	754   	4.52976
INFO:gp:115	773   	0.847489	115	0.907352	0.474738	773   	0.108446 	48.0088	115	75 	17 	773   	4.30677
INFO:gp:116	773   	0.847584	116	0.907352	0.454227	773   	0.112443 	48.4956	116	77 	17 	773   	4.06469
INFO:gp:117	771   	0.849842	117	0.907352	0.454277	771   	0.108756 	48.9316	117	53 	2  	771   	4.03712
INFO:gp:118	755   	0.853549	118	0.907352	0.478019	755   	0.10031  	48.912 	118	59 	17 	755   	3.53423
INFO:gp:119	777   	0.850616	119	0.907352	0.467036	777   	0.104426 	48.1535	119	59 	20 	777   	4.1212 
INFO:gp:120	787   	0.854594	120	0.907352	0.485862	787   	0.0999702	47.35  	120	57 	12 	787   	4.65724
INFO:gp:121	767   	0.849578	121	0.907361	0.473874	767   	0.108952 	46.6549	121	56 	20 	767   	4.81802
INFO:gp:122	754   	0.8542  	122	0.907428	0.385073	754   	0.101574 	46.6207	122	57 	16 	754   	4.77375
INFO:gp:123	754   	0.85931 	123	0.907428	0.429801	754   	0.096157 	47.0958	123	57 	13 	754   	3.55471
INFO:gp:124	787   	0.854666	124	0.90747 	0.483075	787   	0.0989684	46.8446	124	57 	14 	787   	3.81978
INFO:gp:125	749   	0.853263	125	0.90773 	0.42103 	749   	0.105202 	46.6628	125	57 	20 	749   	4.01106
INFO:gp:126	799   	0.85396 	126	0.90773 	0.47969 	799   	0.100025 	46.4673	126	57 	17 	799   	4.58552
INFO:gp:127	763   	0.854474	127	0.907928	0.38623 	763   	0.101846 	46.5318	127	56 	20 	763   	4.44019
INFO:gp:128	786   	0.854106	128	0.907928	0.476443	786   	0.101085 	46.7664	128	54 	20 	786   	3.98987
INFO:gp:129	774   	0.84987 	129	0.90803 	0.445989	774   	0.108333 	46.6833	129	54 	8  	774   	4.49039
INFO:gp:130	769   	0.859522	130	0.908567	0.460395	769   	0.0969324	46.7937	130	54 	6  	769   	4.78629
INFO:gp:131	764   	0.854397	131	0.90874 	0.483354	764   	0.104968 	47.2336	131	77 	20 	764   	4.11814
INFO:gp:132	793   	0.855899	132	0.90874 	0.47739 	793   	0.100307 	47.6843	132	57 	20 	793   	4.13329
INFO:gp:133	776   	0.854221	133	0.908758	0.421431	776   	0.10549  	48.0762	133	56 	16 	776   	4.02656
INFO:gp:134	773   	0.858631	134	0.908923	0.480802	773   	0.102444 	47.7996	134	58 	17 	773   	4.54648
INFO:gp:135	775   	0.853446	135	0.908923	0.484142	775   	0.104303 	47.3842	135	59 	20 	775   	4.28711
INFO:gp:136	753   	0.855881	136	0.908923	0.481627	753   	0.101242 	46.7527	136	54 	17 	753   	5.18348
INFO:gp:137	775   	0.858761	137	0.909046	0.467996	775   	0.0995553	47.7556	137	54 	14 	775   	4.56076
INFO:gp:138	782   	0.859734	138	0.909046	0.474376	782   	0.0971623	48.3978	138	57 	20 	782   	4.30021
INFO:gp:139	769   	0.858402	139	0.909181	0.299853	769   	0.105151 	48.4575	139	57 	19 	769   	4.55443
INFO:gp:140	748   	0.862334	140	0.909181	0.469629	748   	0.0963028	48.6618	140	54 	20 	748   	3.89211
INFO:gp:141	751   	0.857504	141	0.90919 	0.466399	751   	0.100972 	48.7722	141	58 	13 	751   	3.7858 
INFO:gp:142	775   	0.860984	142	0.90919 	0.465104	775   	0.0956162	48.4878	142	58 	19 	775   	4.69392
INFO:gp:143	790   	0.865287	143	0.90919 	0.493003	790   	0.0876467	49.1515	143	77 	20 	790   	4.21832
INFO:gp:144	776   	0.862725	144	0.909281	0.461465	776   	0.0905578	49.9648	144	58 	20 	776   	3.68357
INFO:gp:145	745   	0.862596	145	0.909281	0.420372	745   	0.0942404	50.3988	145	62 	20 	745   	3.97417
INFO:gp:146	775   	0.857849	146	0.909309	0.466918	775   	0.100678 	50.61  	146	60 	20 	775   	4.37863
INFO:gp:147	797   	0.859754	147	0.909309	0.454832	797   	0.0966191	50.5494	147	61 	20 	797   	4.23679
INFO:gp:148	765   	0.861306	148	0.909309	0.480775	765   	0.0929586	50.7058	148	60 	20 	765   	4.01615
INFO:gp:149	762   	0.861825	149	0.909309	0.41841 	762   	0.0984984	50.4115	149	60 	17 	762   	4.42575
INFO:gp:150	770   	0.861787	150	0.909328	0.46927 	770   	0.0947355	50.3656	150	62 	20 	770   	4.87189
INFO:gp:151	783   	0.859226	151	0.909328	0.41454 	783   	0.0957237	50.5572	151	79 	15 	783   	4.38655
INFO:gp:152	755   	0.864387	152	0.909328	0.481303	755   	0.0896118	50.3949	152	58 	20 	755   	4.32168
INFO:gp:153	778   	0.859387	153	0.909328	0.46935 	778   	0.0965622	50.5552	153	58 	20 	778   	4.24018
INFO:gp:154	784   	0.856436	154	0.910896	0.442163	784   	0.100649 	50.5855	154	60 	20 	784   	4.39388
INFO:gp:155	758   	0.863277	155	0.910896	0.460766	758   	0.0938992	50.868 	155	58 	18 	758   	3.87275
INFO:gp:156	778   	0.856525	156	0.910896	0.454424	778   	0.100877 	50.8123	156	58 	20 	778   	4.14309
INFO:gp:157	774   	0.858458	157	0.910896	0.463556	774   	0.0988649	50.6354	157	61 	14 	774   	4.21223
INFO:gp:158	791   	0.859953	158	0.910896	0.445663	791   	0.0977814	50.5073	158	81 	13 	791   	4.28205
INFO:gp:159	777   	0.86552 	159	0.911116	0.481061	777   	0.0917765	50.1584	159	58 	14 	777   	4.13321
INFO:gp:160	774   	0.858194	160	0.914099	0.421827	774   	0.0997385	49.4966	160	59 	18 	774   	4.68225
